,TagTog,Text
110,Surprise,"Étranger, car, certes, tu n'es semblable ni à un lâche, ni à un insensé,"
111,Angry,Où fuyez-vous pour avoir vu cet homme ? Pensez-vous que ce soit quelque ennemi ?
112,Calmness,"Il n'y a point d'homme vivant, et il ne peut en être un seul qui porte la guerre sur la terre des Phaiakiens, car nous sommes très chers aux dieux immortels, et nous habitons aux extrémités de la mer onduleuse, et nous n'avons aucun commerce avec les autres hommes."
113,Surprise,"Il me semblait d'abord méprisable, et maintenant il est semblable aux dieux qui habitent le large Ouranos."
114,Joy,"Plût aux dieux qu'un tel homme fût nommé mon mari, qu'il habitât ici et qu'il lui plût d'y rester !"
115,Disgust,"Ils parleraient ainsi, et leurs paroles seraient honteuses pour moi. Je blâmerais moi-même celle qui, à l'insu de son cher père et de sa mère, irait seule parmi les hommes avant le jour des noces."
116,Angry,"Entends-moi, fille indomptée de Zeus tempêtueux !"
117,Sadness,"Exauce-moi maintenant, puisque tu ne m'as point secouru quand l'illustre qui entoure la terre m'accablait. Accorde-moi d'être le bien venu chez les Phaiakiens, et qu'ils aient pitié."
118,Sadness,"Malheureux, qui, vivants, êtes descendus dans la demeure d'Aidès, vous mourrez deux fois, et les autres hommes ne meurent qu'une fois."
119,Calmness,"Allons ! mangez et buvez pendant tout le jour, jusqu'à la chute de Hèlios ; et, à la lumière naissante, vous naviguerez, et je vous dirai la route, et je vous avertirai de toute chose, de peur que vous subissiez encore des maux cruels sur la mer ou sur la terre."
120,Angry,"Parle, déesse, et dis-moi la vérité. Si je puis échapper à la désastreuse Kharybdis, ne pourrai-je attaquer Skyllè, quand elle saisira mes compagnons ?"
121,Angry,"Malheureux, tu songes donc encore aux travaux de la guerre ? Et tu ne veux pas céder, même aux dieux immortels !"
122,Sadness,"Ô amis, il ne faut pas qu'un seul, et même deux seulement d'entre nous, sachent ce que m'a prédit la noble déesse Kirkè ; mais il faut que nous le sachions tous, et je vous le dirai. Nous mourrons après, ou, évitant le danger, nous échapperons à la mort et à la kèr."
123,Joy,"Viens, ô illustre Odysseus, grande gloire des Akhaiens. Arrête ta nef, afin d'écouter notre voix. Aucun homme n'a dépassé notre île sur sa nef noire sans écouter notre douce voix ; puis, il s'éloigne, plein de joie, et sachant de nombreuses choses."
124,Calmness,"Ô amis, nous n'ignorons pas les maux. N'avons nous pas enduré un mal pire quand le kyklôps nous tenait renfermés dans sa caverne creuse avec une violence horrible ? Mais, alors, par ma vertu, par mon intelligence et ma sagesse, nous lui avons échappé. Je ne pense pas que vous l'ayez oublié. Donc, maintenant, faites ce que je dirai ; obéissez tous. Vous, assis sur les bancs, frappez de vos avirons les flots profonds de la mer ; et toi, pilote, je t'ordonne ceci, retiens-le dans ton esprit, puisque tu tiens le gouvernail de la nef creuse. Dirige-la en dehors de cette fumée et de ce courant, et gagne cet autre écueil. Ne cesse pas d'y tendre avec vigueur, et tu détourneras notre perte"
125,Sadness,"Écoutez mes paroles, compagnons, bien qu'accablés de maux, afin que je vous dise les oracles de Teirésias et de Kirkè qui m'a recommandé de fuir promptement l'île de Hèlios qui donne la lumière aux hommes. Elle m'a dit qu'un grand malheur nous menaçait ici. Donc, poussez la nef noire au delà de cette île."
126,Angry,"Tu es dur pour nous, ô Odysseus ! Ta force est grande, et tes membres ne sont jamais fatigués, et tout te semble de fer. Tu ne veux pas que tes compagnons, chargés de fatigue et de sommeil, descendent à terre, dans cette île entourée des flots où nous aurions préparé un repas abondant ; et tu ordonnes que nous errions à l'aventure, pendant la nuit rapide, loin de cette île, sur la sombre mer !"
127,Angry,"Eurylokhos, vous me faites violence, car je suis seul"
128,Angry,"Toutes les morts sont odieuses aux misérables hommes, mais mourir par la faim est tout ce qu'il y a de plus lamentable."
129,Sadness,"Voici que mes compagnons, restés seuls ici, ont commis un grand crime."
130,Angry,Je brûlerai bientôt de la blanche foudre leur nef fracassée au milieu de la sombre mer.
131,Angry,"Ah ! combien les hommes accusent les Dieux ! Ils disent que leurs maux viennent de nous, et, seuls, ils aggravent leur destinée par leur démence."
132,Sadness,"Ô notre Père, Kronide, le plus haut des Rois ! celui-ci du moins a été frappé d'une mort juste. Qu'il meure ainsi celui qui agira de même ! Mais mon coeur est déchiré au souvenir du brave Odysseus, le malheureux ! qui souffre depuis longtemps loin des siens, dans une île, au milieu de la mer, et où en est le centre."
133,Angry,"Et ton cœur n'est point touché, Olympien, par les sacrifices qu'Odysseus accomplissait pour toi auprès des nefs Argiennes, devant la grande Troiè. Zeus, pourquoi donc es-tu si irrité contre lui ?"
134,Angry,"Mon enfant, quelle parole s'est échappée d'entre tes dents ? Comment pourrais-je oublier le divin Odysseus, qui, par l'intelligence, est au-dessus de tous les hommes, et qui offrait le plus de sacrifices aux Dieux qui vivent toujours et qui habitent le large Ouranos ?"
135,Sadness,"Ô notre Père, Kronide, le plus haut des Rois !"
136,Surprise,"Cher Étranger, seras-tu irrité de mes paroles ?"
137,Calmness,Je te dirai des choses sincères.
138,Sadness,"Étranger, je te dirai des choses très sincères. Ma mère dit que je suis fils d'Odysseus, mais moi, je n'en sais rien, car nul ne sait par lui-même qui est son père."
139,Angry,"Que ne suis-je plutôt le fils de quelque homme heureux qui dût vieillir sur ses domaines ! Et maintenant, on le dit, c'est du plus malheureux des hommes mortels que je suis né, et c'est ce que tu m'as demandé."
140,Calmness,"Les dieux ne t'ont point fait sortir d'une race sans gloire dans la postérité, puisque Pènélopéia t'a enfanté tel que te voilà."
141,Angry,"Car ceci n'est point payé en commun, tant ces convives mangent avec insolence et arrogance dans cette demeure ! Tout homme, d'un esprit sensé du moins, s'indignerait de te voir au milieu de ces choses honteuses."
142,Angry,"Étranger, puisque tu m'interroges sur ceci, cette demeure fut autrefois riche et honorée, tant que le héros habita le pays ; mais, aujourd'hui, les dieux, source de nos maux, en ont décidé autrement, et ils ont fait de lui le plus ignoré d'entre tous les hommes. Et je ne le pleurerais point ainsi, même le sachant mort, s'il avait été frappé avec ses compagnons, parmi le peuple des Troiens, ou s'il était mort entre des mains amies, après la guerre."
143,Sadness,"Alors les Panakhaiens lui eussent bâti un tombeau, et il eût légué à son fils une grande gloire dans la postérité. Mais, aujourd'hui, les Harpyes l'ont enlevé obscurément, et il est mort, et nul n'a rien su, ni rien appris de lui, et il ne m'a laissé que les douleurs et les lamentations."
144,Angry,"Mais je ne gémis point uniquement sur lui, et les Dieux m'ont envoyé d'autres peines amères."
145,Angry,"Et ma mère ne peut refuser des noces odieuses ni mettre fin à ceci ; et ces hommes épuisent ma demeure en mangeant, et ils me perdront bientôt aussi."
146,Sadness,"Ah ! sans doute, tu as grand besoin d'Odysseus qui mettrait la main sur ces prétendants injurieux !"
147,Angry,"si donc Odysseus, tel que je le vis, survenait au milieu des prétendants, leur destinée serait brève et leurs noces seraient amères !"
148,Calmness,"Mais il appartient aux dieux de décider s'il reviendra, ou non, les punir dans sa demeure. Je t'exhorte donc à chercher comment tu pourras les chasser d'ici."
149,Calmness,"Il ne faut plus te livrer aux choses enfantines, car tu n'en as plus l'âge. Ne sais-tu pas de quelle gloire s'est couvert le divin Orestès parmi les hommes, en tuant le meurtrier de son père illustre, Aigisthos aux ruses perfides ?"
150,Joy,"Toi aussi, ami, que voilà grand et beau, sois brave, afin que les hommes futurs te louent."
151,Joy,"Étranger, tu m'as parlé en ami, comme un père à son fils, et je n'oublierai jamais tes paroles. Mais reste, bien que tu sois pressé, afin que t'étant baigné et ayant charmé ton coeur, tu retournes vers ta nef, plein de joie, avec un présent riche et précieux qui te viendra de moi et sera tel que des amis en offrent à leurs hôtes."
152,Sadness,"Ne me retiens plus, il faut que je parte."
153,Joy,"Quand je reviendrai, tu me donneras ce présent que ton coeur me destine, afin que je l'emporte dans ma demeure. Qu'il soit fort beau, et que je puisse t'en offrir un semblable."
154,Sadness,"Assis au milieu de ceux-ci, chante-leur une de ces choses, tandis qu'ils boivent du vin en silence ; mais cesse ce triste chant qui déchire mon coeur dans ma poitrine, puisque je suis la proie d'un deuil que je ne puis oublier. Car je pleure une tête bien aimée, et je garde le souvenir"
155,Sadness,éternel de l'homme dont la gloire emplit Hellas et Argos
156,Angry,"Ma mère, pourquoi défends-tu que ce doux Aoide nous réjouisse, comme son esprit le lui inspire ? Les Aoides ne sont responsables de rien, et Zeus dispense ses dons aux poètes comme il lui plaît. Il ne faut point t'indigner contre celui-ci parce qu'il chante la sombre destinée des Danaens, car les hommes chantent toujours les choses les plus récentes. Aie donc la force d'âme d'écouter."
157,Angry,"Odysseus n'a point perdu seul, à Troiè, le jour du retour, et beaucoup d'autres y sont morts aussi. Rentre dans ta demeure ; continue tes travaux à l'aide de la toile et du fuseau, et remets tes servantes à leur tâche. La parole appartient aux hommes, et surtout à moi qui commande ici."
158,Angry,"Prétendants de ma mère, qui avez une insolence arrogante, maintenant réjouissons-nous, mangeons et ne poussons point de clameurs, car il est bien et convenable d'écouter un tel Aoide qui est semblable aux Dieux par sa voix ; mais, dès l'aube, rendons-nous tous à l'agora, afin que je vous déclare nettement que vous ayez tous à sortir d'ici. Faites d'autres repas, mangez vos biens en vous recevant tour à tour dans vos demeures ; mais s'il vous paraît meilleur de dévorer impunément la subsistance d'un seul homme, dévorez-la. Moi, je supplierai les Dieux qui vivent toujours, afin que Zeus ordonne que votre action soit punie, et vous périrez peut-être sans vengeance dans cette demeure."
159,Angry,"Tèlémakhos, certes, les Dieux mêmes t'enseignent à parler haut et avec audace ; mais puisse le Kroniôn ne point te faire roi dans Ithakè entourée des flots, bien qu'elle soit ton héritage par ta naissance !"
160,Angry,"Antinoos, quand tu t'irriterais contre moi à cause de mes paroles, je voudrais être roi par la volonté de Zeus. Penses-tu qu'il soit mauvais de l'être parmi les hommes ?"
161,Calmness,"Il n'est point malheureux de régner. On possède une riche demeure, et on est honoré. Mais beaucoup d'autres rois Akhaiens, jeunes et vieux, sont dans Ithakè entourée des flots. Qu'un d'entre eux règne, puisque le divin Odysseus est mort. Moi, du moins, je serai le maître de la demeure et des esclaves que le divin Odysseus a conquis pour moi."
162,Calmness,"Tèlémakhos, il appartient aux Dieux de décider quel sera l'Akhaien qui régnera dans Ithakè entourée des flots. Pour toi, possède tes biens et commande en ta demeure, et que nul ne te dépouille jamais par violence et contre ton gré, tant que Ithakè sera habitée. Mais je veux, ami, t'interroger sur cet étranger."
163,Surprise,"D'où est-il ? De quelle terre se vante-t-il de sortir ? Où est sa famille ? Où est son pays ? Apporte-t-il quelque nouvelle du retour de ton père ? Est-il venu réclamer une dette ? Il est parti promptement et n'a point daigné se faire connaître. Son aspect, d'ailleurs, n'est point celui d'un misérable"
164,Calmness,"Eurymakhos, certes, mon père ne reviendra plus, et je n'en croirais pas la nouvelle, s'il m'en venait ; et je ne me soucie point des prédictions que ma mère demande au divinateur qu'elle a appelé dans cette demeure."
165,Fear,"Mais qui t'accompagnera en portant une lumière, puisque tu ne veux pas que les servantes t'éclairent ?"
166,Joy,"Ô père, certes, je vois de mes yeux un grand prodige ! Voici que les murs de la demeure, et ses belles poutres, et ses solives de sapin, et ses hautes colonnes, brillent comme un feu ardent."
167,Calmness,"Tais-toi, et retiens ton esprit, et ne m'interroge pas."
168,Disgust,"Étranger, te voilà encore qui erres dans la demeure, épiant les femmes ! Sors d'ici, misérable, après t'être rassasié, ou je te frapperai de ce tison !"
169,Angry,"Malheureuse ! pourquoi m'outrager avec fureur ? Est-ce parce que je suis vêtu de haillons et que je mendie parmi le peuple, comme la nécessité m'y contraint ?"
170,Sadness,"Et moi aussi, autrefois, j'étais heureux, et j'habitais une riche demeure, et je donnais aux vagabonds, quels qu'ils fussent et quels que fussent leurs besoins. Et j'avais de nombreux serviteurs et tout ce qui rend heureux et fait appeler un homme riche ; mais le Kroniôn Zeus m'a tout enlevé, le voulant ainsi."
171,Angry,"Chienne audacieuse, tu ne peux me cacher ton insolence effrontée que tu payeras de ta tête, car tu sais bien, m'ayant entendue toi-même, que je veux, étant très affligée, interroger cet étranger sur mon mari."
172,Sadness,"N'emplis pas ainsi mon âme de nouvelles douleurs en me faisant souvenir, car je suis très affligé, et je ne veux pas pleurer et gémir dans une maison étrangère, car il est honteux de pleurer toujours. Peut-être qu'une de tes servantes m'outragerait, ou que tu t'irriterais toi-même, disant que je pleure ainsi ayant l'esprit troublé par le vin."
173,Sadness,"S'il revenait et gouvernait ma vie, ma gloire serait plus grande et plus belle. Mais, maintenant, je gémis, tant un daimôn funeste m'a accablée de maux."
174,Sadness,"Et je ne prends plus soin des étrangers, ni des suppliants, ni des hérauts qui agissent en public ; mais je regrette Odysseus et je gémis dans mon cher coeur."
175,Angry,"alors avertis par mes chiennes de servantes, ils me surprirent et me menacèrent, et, contre ma volonté, je fus contrainte d'achever ma toile."
176,Sadness,"Et, maintenant, je ne puis plus éviter mes noces, ne trouvant plus aucune ruse."
177,Sadness,"Je te répondrai donc, bien que tu renouvelles ainsi mes maux innombrables ; mais c'est là la destinée d'un homme depuis longtemps absent de la patrie, tel que moi qui ai erré parmi les villes des hommes, étant accablé de maux."
178,Surprise,"Maintenant, ô mon hôte, auparavant misérable, tu seras aimé et honoré dans mes demeures."
179,Sadness,"J'ai moi-même donné à Odysseus ces vêtements que tu décris et qui étaient pliés dans ma chambre nuptiale, et j'y ai attaché cette agrafe brillante. Mais je ne le verrai plus de retour dans la chère terre de la patrie ! C'est par une mauvaise destinée qu'Odysseus, montant dans sa nef creuse, est parti pour cette Troiè fatale qu'on ne devrait plus nommer."
180,Sadness,"Ô femme vénérable du Laertiade Odysseus, ne flétris point ton beau visage et ne te consume point dans ton coeur à pleurer. Cependant, je ne te blâme en rien. Quelle femme pleurerait un jeune mari dont elle a conçu des enfants, après s'être unie d'amour à lui, plus que tu dois pleurer Odysseus qu'on dit semblable aux dieux ?"
181,Calmness,"Et je te ferai un grand serment : Qu'ils le sachent, Zeus, le meilleur et le plus grand des dieux, et la demeure du brave Odysseus où je suis arrivé ! Tout s'accomplira comme je le dis. Odysseus reviendra avant la fin de cette année, avant la fin de ce mois, dans quelques jours."
182,Joy,"Plaise aux dieux, étranger, que tes paroles s'accomplissent !"
183,Joy,Je te prouverais aussitôt mon amitié par de nombreux présents et chacun te dirait heureux ;
184,Sadness,mais je sens dans mon coeur que jamais Odysseus ne reviendra dans sa demeure et que ce n'est point lui qui te renverra.
185,Angry,Il arrivera malheur à celui d'entre eux qui l'outragera.
186,Sadness,La vie des hommes est brève.
187,Sadness,"Ô femme vénérable du Laertiade Odysseus, les beaux vêtements et les couvertures splendides me sont odieux, depuis que, sur ma nef aux longs avirons, j'ai quitté les montagnes neigeuses de la Krètè."
188,Sadness,"Peut-être que les pieds et les mains d'Odysseus ressemblent aux siens, car les hommes vieillissent vite dans le malheur."
189,Sadness,"Hélas ! je suis sans force pour te venir en aide, ô mon enfant ! Assurément Zeus te hait entre tous les hommes, bien que tu aies un esprit pieux. Aucun homme n'a brûlé plus de cuisses grasses à Zeus qui se réjouit de la foudre, ni d'aussi complètes hécatombes. Tu le suppliais de te laisser parvenir à une pleine vieillesse et de te laisser élever ton fils illustre, et voici qu'il t'a enlevé le jour du retour !"
190,Calmness,"Ô vieille femme, en effet, tous ceux qui nous ont vus tous deux de leurs yeux disent que nous nous ressemblons beaucoup. Tu as parlé avec sagesse."
