,Part,Text,Senticnet,PyFeel
16,e_14,Odysseus,,positivity
17,e_25,"Laodamas, pourquoi me provoques-tu à combattre ? Les douleurs remplissent mon âme plus que le désir des jeux. J'ai déjà subi beaucoup de maux et supporté beaucoup de travaux, et maintenant, assis dans votre agora, j'implore mon retour, priant le roi et tout le peuple.",ecstasy,positivity
18,Sadness,"Les douleurs remplissent mon âme plus que le désir des jeux. J'ai déjà subi beaucoup de maux et supporté beaucoup de travaux, et maintenant, assis dans votre agora, j'implore mon retour, priant le roi et tout le peuple.",ecstasy,positivity
19,e_14,Euryalos,,positivity
20,e_25,"– Tu parais, mon hôte, ignorer tous les jeux où s'exercent les hommes, et tu ressembles à un chef de matelots marchands qui, sur une nef de charge, n'a souci que de gain et de provisions, plutôt qu'à un athlète.",grief,positivity
21,Angry,"u parais, mon hôte, ignorer tous les jeux où s'exercent les hommes, et tu ressembles à un chef de matelots marchands qui, sur une nef de charge, n'a souci que de gain et de provisions, plutôt qu'à un athlète",grief,positivity
22,e_14,Odysseus,,positivity
23,e_25,"– Mon hôte, tu n'as point parlé convenablement, et tu ressembles à un homme insolent. Les dieux ne dispensent point également leurs dons à tous les hommes, la beauté, la prudence ou l'éloquence. Souvent un homme n'a point de beauté, mais un dieu l'orne par la parole, et tous sont charmés devant lui, car il parle avec assurance et une douce modestie, et il domine l'agora, et, quand il marche par la ville, on le regarde comme un dieu. Un autre est semblable aux dieux par sa beauté, mais il ne lui a point été accordé de bien parler. Ainsi, tu es beau, et un dieu ne t'aurait point formé autrement, mais tu manques d'intelligence, et, comme tu as mal parlé, tu as irrité mon coeur dans ma chère poitrine. Je n'ignore point ces combats, ainsi que tu le dis. J'étais entre les premiers, quand je me confiais dans ma jeunesse et dans la vigueur de mes bras. Maintenant, je suis accablé de misères et de douleurs, ayant subi de nombreux combats parmi les hommes ou en traversant les flots dangereux. Mais, bien que j'aie beaucoup souffert, je tenterai ces jeux, car ta parole m'a mordu, et tu m'as irrité par ce discours.",ecstasy,positivity
24,Angry,tu as irrité mon coeur dans ma chère poitrine,ecstasy,positivity
25,Sadness,"Maintenant, je suis accablé de misères et de douleurs, ayant subi de nombreux combats parmi les hommes ou en traversant les flots dangereux",grief,positivity
26,Angry,et tu m'as irrité par ce discours,grief,positivity
27,e_14,Athènè,,positivity
28,e_25,"– Même un aveugle, mon hôte, pourrait reconnaître ta marque en la touchant, car elle n'est point mêlée à la foule des autres, mais elle est bien au delà. Aie donc confiance, car aucun des Phaiakiens n'atteindra là, loin de te dépasser.",ecstasy,positivity
29,Calmness,"Aie donc confiance, car aucun des Phaiakiens n'atteindra là, loin de te dépasser",grief,positivity
30,e_14,Odysseus,,positivity
31,e_25,"– Maintenant, jeunes hommes, atteignez cette pierre. Je pense que je vais bientôt en jeter une autre aussi loin, et même au delà. Mon âme et mon coeur m'excitent à tenter tous les autres combats. Que chacun de vous se fasse ce péril, car vous m'avez grandement irrité. Au ceste, à la lutte, à la course, je ne refuse aucun des Phaiakiens, sauf le seul Laodamas. Il est mon hôte. Qui pourrait combattre un ami ? L'insensé seul et l'homme de nulle valeur le disputent à leur hôte dans les jeux, au milieu d'un peuple étranger, et ils s'avilissent ainsi. Mais je n'en récuse ni n'en repousse aucun autre. Je n'ignore aucun des combats qui se livrent parmi les hommes. Je sais surtout tendre un arc récemment poli, et le premier j'atteindrais un guerrier lançant des traits dans la foule des hommes ennemis, même quand de nombreux compagnons l'entoureraient et tendraient l'arc contre moi. Le seul Philoktètès l'emportait sur moi par son arc, chez le peuple des Troiens, toutes les fois que les Akhaiens lançaient des flèches. Mais je pense être maintenant le plus habile de tous les mortels qui se nourrissent de pain sur la terre. Certes, je ne voudrais point lutter contre les anciens héros, ni contre Héraklès, ni contre Eurytos l'Oikhalien, car ils luttaient, comme archers, même avec les dieux. Le grand Eurytos mourut tout jeune, et il ne vieillit point dans ses demeures. En effet, Apollôn irrité le tua, parce qu'il l'avait provoqué au combat de l'arc. Je lance la pique aussi bien qu'un autre lance une flèche. Seulement, je crains qu'un des Phaiakiens me surpasse à la course, ayant été affaibli par beaucoup de fatigues au milieu des flots, car je ne possédais pas une grande quantité de vivres dans ma nef, et mes chers genoux sont rompus.",ecstasy,positivity
32,Joy,Mon âme et mon coeur m'excitent à tenter tous les autres combat,ecstasy,positivity
33,Calmness,Mais je pense être maintenant le plus habile de tous les mortels qui se nourrissent de pain sur la terre,terror,positivity
34,Fear,"Seulement, je crains qu'un des Phaiakiens me surpasse à la course",terror,positivity
35,e_14,Alkinoos,,positivity
36,e_25,"– Mon hôte, tes paroles me plaisent. Ta force veut prouver la vertu qui te suit partout, étant irrité, car cet homme t'a défié ; mais aucun n'oserait douter de ton courage, si du moins il n'a point perdu le jugement. Maintenant, comprends bien ce que je vais dire, afin que tu parles favorablement de nos héros quand tu prendras tes repas dans tes demeures, auprès de ta femme et de tes enfants, et que tu te souviennes de notre vertu et des travaux dans lesquels Zeus nous a donné d'exceller dès le temps de nos ancêtres. Nous ne sommes point les plus forts au ceste, ni des lutteurs irréprochables, mais nous courons rapidement et nous excellons sur les nefs. Les repas nous sont chers, et la kithare et les danses, et les vêtements renouvelés, les bains chauds et les lits. Allons ! vous qui êtes les meilleurs danseurs Phaiakiens, dansez, afin que notre hôte, de retour dans sa demeure, dise à ses amis combien nous l'emportons sur tous les autres hommes dans la science de la mer, par la légèreté des pieds, à la danse et par le chant. Que quelqu'un apporte aussitôt à Dèmodokos sa kithare sonore qui est restée dans nos demeures.",grief,positivity
37,Joy,"Mon hôte, tes paroles me plaisent",,positivity
38,e_14,Arès,,positivity
39,e_25,"– Allons, chère, dormir sur notre lit. Hèphaistos n'est plus ici ; il est allé à Lemnos, chez les Sintiens au langage barbare.",ecstasy,positivity
40,e_14,Hèphaistos,,positivity
41,e_25,"– Père Zeus, et vous, dieux heureux qui vivez toujours, venez voir des choses honteuses et intolérables. Moi qui suis boiteux, la fille de Zeus, Aphroditè, me déshonore, et elle aime le pernicieux Arès parce qu'il est beau et qu'il ne boite pas. Si je suis laid, certes, je n'en suis pas cause, mais la faute en est à mon père et à ma mère qui n'auraient pas dû m'engendrer. Voyez comme ils sont couchés unis par l'amour. Certes, en les voyant sur ce lit, je suis plein de douleur, mais je ne pense pas qu'ils tentent d'y dormir encore, bien qu'ils s'aiment beaucoup ; et ils ne pourront s'unir, et mon piège et mes liens les retiendront jusqu'à ce que son père m'ait rendu toute la dot que je lui ai livrée à cause de sa fille aux yeux de chien, parce qu'elle était belle.",ecstasy,positivity
42,Disgust,"Père Zeus, et vous, dieux heureux qui vivez toujours, venez voir des choses honteuses et intolérables",bliss,positivity
43,Sadness,"Certes, en les voyant sur ce lit, je suis plein de douleur",grief,positivity
44,e_14,Poseidaôn,,positivity
45,e_14,Herméias,,positivity
46,e_14,Apollôn,,positivity
47,e_25,"– Les actions mauvaises ne valent pas la vertu. Le plus lent a atteint le rapide. Voici que Hèphaistos, bien que boiteux, a saisi, par sa science Arès, qui est le plus rapide de tous les dieux qui habitent l'Olympos, et c'est pourquoi il se fera payer une amende.",ecstasy,positivity
48,e_14,Apollôn,,positivity
49,e_25,"– Messager Herméias, fils de Zeus, qui dispense les biens, certes, tu voudrais sans doute être enveloppé de ces liens indestructibles, afin de coucher dans ce lit, auprès d'Aphroditè d'or ?",grief,positivity
50,e_14,Herméias,,positivity
51,e_25,"– Plût aux dieux, ô royal archer Apollôn, que cela arrivât, et que je fusse enveloppé de liens trois fois plus inextricables, et que tous les dieux et les déesses le vissent, pourvu que je fusse couché auprès d'Aphroditè d'or !",grief,positivity
52,e_14,Poseidaôn,,positivity
53,e_25,"– Délivre-le, et je te promets qu'il te satisfera, ainsi que tu le désires, et comme il convient entre dieux immortels.",melancholy,positivity
54,e_14,Hèphaistos,,positivity
55,e_25,"– Poseidaôn qui entoures la terre, ne me demande point cela. Les cautions des mauvais sont mauvaises. Comment pourrais-je te contraindre, parmi les dieux immortels, si Arès échappait à sa dette et à mes liens ?",terror,positivity
56,e_14,Poseidaôn,,positivity
57,e_25,"– Hèphaistos, si Arès, reniant sa dette, prend la fuite, je te la payerai moi-même.",terror,fear
58,e_25,"– Il ne convient point que je refuse ta parole, et cela ne sera point.",grief,positivity
59,e_14,Odysseus,,positivity
60,e_25,"– Roi Alkinoos, le plus illustre de tout le peuple, certes, tu m'as annoncé les meilleurs danseurs, et cela est manifeste. L'admiration me saisit en les regardant.",grief,positivity
61,Joy,L'admiration me saisit en les regardan,grief,positivity
62,e_14,Alkinoos,,positivity
63,e_25,"– Écoutez, princes et chefs des Phaiakiens. Notre hôte me semble plein de sagesse. Allons ! Il convient de lui offrir les dons hospitaliers. Douze rois illustres, douze princes, commandent ce peuple, et moi, je suis le treizième. Apportez-lui, chacun, un manteau bien lavé, une tunique et un talent d'or précieux. Et, aussitôt, nous apporterons tous ensemble ces présents, afin que notre hôte, les possédant, siège au repas, l'âme pleine de joie. Et Euryalos l'apaisera par ses paroles, puisqu'il n'a point parlé convenablement.",ecstasy,positivity
64,Calmness,Notre hôte me semble plein de sagesse,melancholy,positivity
65,Joy,"Et, aussitôt, nous apporterons tous ensemble ces présents, afin que notre hôte, les possédant, siège au repas, l'âme pleine de joie",ecstasy,positivity
66,e_14,Euryalos,,positivity
67,e_25,"– Roi Alkinoos, le plus illustre de tout le peuple, j'apaiserai notre hôte, comme tu me l'ordonnes, et je lui donnerai cette épée d'airain, dont la poignée est d'argent et dont la gocine est d'ivoire récemment travaillé. Ce don sera digne de notre hôte.",terror,positivity
68,Calmness,"j'apaiserai notre hôte, comme tu me l'ordonnes",grief,positivity
69,e_25,"– Salut, hôte, mon père ! si j'ai dit une parole mauvaise, que les tempêtes l'emportent ! Que les dieux t'accordent de retourner dans ta patrie et de revoir ta femme, car tu as longtemps souffert loin de tes amis.",ecstasy,positivity
70,Calmness,"Que les dieux t'accordent de retourner dans ta patrie et de revoir ta femme,",ecstasy,positivity
71,e_14,Odysseus,,positivity
72,e_25,"– Et toi, ami, je te salue. Que les dieux t'accordent tous les biens. Puisses-tu n'avoir jamais le regret de cette épée que tu me donnes en m'apaisant par tes paroles.",grief,positivity
73,Calmness,que tu me donnes en m'apaisant par tes paroles,,positivity
74,e_14,Alkinoos,,positivity
75,e_25,"– Femme, apporte un beau coffre, le plus beau que tu aies, et tu y renfermeras un manteau bien lavé et une tunique. Qu'on mette un vase sur le feu, et que l'eau chauffe, afin que notre hôte, s'étant baigné, contemple les présents que lui ont apportés les irréprochables Phaiakiens, et qu'il se réjouisse du repas, en écoutant le chant de l'aoide. Et moi, je lui donnerai cette belle coupe d'or, afin qu'il se souvienne de moi tous les jours de sa vie, quand il fera, dans sa demeure, des libations à Zeus et aux autres dieux.",grief,positivity
76,Joy,"et qu'il se réjouisse du repas, en écoutant le chant de l'aoide.",grief,positivity
77,e_14,Arètè,,positivity
78,e_25,"– Vois toi-même ce couvercle, et ferme-le d'un noeud, afin que personne, en route, ne puisse te dérober quelque chose, car tu dormiras peut-être d'un doux sommeil dans la nef noire.",contentment,positivity
79,e_14,Nausikaa,,positivity
80,e_25,"– Salut, mon hôte ! Plaise aux dieux, quand tu seras dans la terre de la patrie, que tu te souviennes de moi à qui tu dois la vie.",terror,positivity
81,Joy,"Plaise aux dieux, quand tu seras dans la terre de la patrie",ecstasy,positivity
82,e_14,Odysseus,,positivity
83,e_25,"– Nausikaa, fille du magnanime Alkinoos, si, maintenant, Zeus, le retentissant époux de Hèrè, m'accorde de voir le jour du retour et de rentrer dans ma demeure, là, certes, comme à une déesse, je t'adresserai des voeux tous les jours de ma vie, car tu m'as sauvé, ô vierge !",ecstasy,positivity
84,Joy,"e t'adresserai des voeux tous les jours de ma vie, car tu m'as sauvé, ô vierge",grief,positivity
85,e_25,"– Prends, héraut, et offre, afin, qu'il la mange, cette chair à Dèmodokos. Moi aussi je l'aime, quoique je sois affligé. Les aoides sont dignes d'honneur et de respect parmi tous les hommes terrestres, car la Muse leur a enseigné le chant, et elle aime la race des aoides.",terror,positivity
86,Calmness,Les aoides sont dignes d'honneur et de respect parmi tous les hommes terrestres,terror,positivity
87,e_25,"– Dèmodokos, je t'honore plus que tous les hommes mortels, soit que la Muse, fille de Zeus, t'ait instruit, soit Apollôn. Tu as admirablement chanté la destinée des Akhaiens, et tous les maux qu'ils ont endurés, et toutes les fatigues qu'ils ont subies, comme si toi-même avais été présent, ou comme si tu avais tout appris d'un Argien. Mais chante maintenant le cheval de bois qu'Épéios fit avec l'aide d'Athènè, et que le divin Odysseus conduisit par ses ruses dans la citadelle, tout rempli d'hommes qui renversèrent Ilios. Si tu me racontes exactement ces choses, je déclarerai à tous les hommes qu'un dieu t'a doué avec bienveillance du chant divin.",terror,positivity
88,Sadness,"Tu as admirablement chanté la destinée des Akhaiens, et tous les maux qu'ils ont endurés, et toutes les fatigues qu'ils ont subies",terror,positivity
89,e_14,Alkinoos,,positivity
90,e_25,"– Écoutez, princes et chefs des Phaiakiens, et que Dèmodokos fasse taire sa kithare sonore. Ce qu'il chante ne plaît pas également à tous. Dès le moment où nous avons achevé le repas et où le divin aoide a commencé de chanter, notre hôte n'a point cessé d'être en proie à un deuil cruel, et la douleur a envahi son coeur. Que Dèmodokos cesse donc, afin que, nous et notre hôte, nous soyons tous également satisfaits. Ceci est de beaucoup le plus convenable. Nous avons préparé le retour de notre hôte vénérable et des présents amis que nous lui avons offerts parce que nous l'aimons. Un hôte, un suppliant, est un frère pour tout homme qui peut encore s'attendrir dans l'âme.",ecstasy,positivity
91,Calmness,Nous avons préparé le retour de notre hôte vénérable et des présents amis que nous lui avons offerts parce que nous l'aimons,ecstasy,positivity
92,e_25,"""C'est pourquoi, étranger, ne me cache rien, par ruse, de tout ce que je vais te demander, car il est juste que tu parles sincèrement. Dis-moi comment se nommaient ta mère, ton père, ceux qui habitaient ta ville, et tes voisins. Personne, en effet, parmi les hommes, lâches ou illustres, n'a manqué de nom, depuis qu'il est né. Les parents qui nous ont engendrés nous en ont donné à tous. Dis-moi aussi ta terre natale, ton peuple et ta ville, afin que nos nefs qui pensent t'y conduisent ; car elles n'ont point de pilotes, ni de gouvernails, comme les autres nefs, mais elles pensent comme les hommes, et elles connaissent les villes et les champs fertiles de tous les hommes, et elles traversent rapidement la mer, couvertes de brouillards et de nuées, sans jamais craindre d'être maltraitées ou de périr. Cependant j'ai entendu autrefois mon père Nausithoos dire que Poseidaôn s'irriterait contre nous, parce que nous reconduisons impunément tous les étrangers. Et il disait qu'une solide nef des Phaiakiens périrait au retour d'un voyage sur la mer sombre, et qu'une grande montagne serait suspendue devant notre ville. Ainsi parlait le vieillard. Peut-être ces choses s'accompliront-elles, peut-être n'arriveront-elles point. Ce sera comme il plaira au dieu.",ecstasy,positivity
93,Calmness,"Ce sera comme il plaira au dieu.""",serenity,positivity
94,e_25,"""Mais parle, et dis-nous dans quels lieux tu as erré, les pays que tu as vus, et les villes bien peuplées et les hommes, cruels et sauvages, ou justes et hospitaliers et dont l'esprit plaît aux dieux. Dis pourquoi tu pleures en écoutant la destinée des Argiens, des Danaens et d'Ilios ! Les dieux eux-mêmes ont fait ces choses et voulu la mort de tant de guerriers, afin qu'on les chantât dans les jours futurs. Un de tes parents est-il mort devant Ilios ? Était-ce ton gendre illustre ou ton beau-père, ceux qui nous sont le plus chers après notre propre sang ? Est-ce encore un irréprochable compagnon ? Un sage compagnon, en effet, n'est pas moins qu'un frère.""",ecstasy,positivity
95,e_14,Aigyptios,,positivity
96,e_25,"– Écoutez maintenant, Ithakèsiens, ce que je vais dire. Nous n'avons jamais réuni l'agora, et nous ne nous y sommes point assis depuis que le divin Odysseus est parti sur ses nefs creuses. Qui nous rassemble ici aujourd'hui ? Quelle nécessité le presse ? Est-ce quelqu'un d'entre les jeunes hommes ou d'entre les vieillards ? A-t-il reçu quelque nouvelle de l'armée, et veut-il nous dire hautement ce qu'il a entendu le premier ? Ou désire-t-il parler de choses qui intéressent tout le peuple ? Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",ecstasy,positivity
97,e_25,"Écoutez maintenant, Ithakèsiens, ce que je vais dire. Nous n'avons jamais réuni l'agora, et nous ne nous y sommes point assis depuis que le divin Odysseus est parti sur ses nefs creuses. Qui nous rassemble ici aujourd'hui ? Quelle nécessité le presse ? Est-ce quelqu'un d'entre les jeunes hommes ou d'entre les vieillards ? A-t-il reçu quelque nouvelle de l'armée, et veut-il nous dire hautement ce qu'il a entendu le premier ? Ou désire-t-il parler de choses qui intéressent tout le peuple ? Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",ecstasy,positivity
98,Calmness,"Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",melancholy,positivity
99,e_14,Peisènôr,,positivity
100,e_25,"– Ô vieillard, il n'est pas loin, et, dès maintenant, tu peux le voir, celui qui a convoqué le peuple, car une grande douleur m'accable. Je n'ai reçu aucune nouvelle de l'armée que je puisse vous rapporter hautement après l'avoir apprise le premier, et je n'ai rien à dire qui intéresse tout le peuple ; mais j'ai à parler de mes propres intérêts et du double malheur tombé sur ma demeure ; car, d'une part, j'ai perdu mon père irréprochable, qui autrefois vous commandait, et qui, pour vous aussi, était doux comme un père ; et, d'un autre côté, voici maintenant, – et c'est un mal pire qui détruira bientôt ma demeure et dévorera tous mes biens, – que des prétendants assiègent ma mère contre sa volonté. Et ce sont les fils bien-aimés des meilleurs d'entre ceux qui siègent ici. Et ils ne veulent point se rendre dans la demeure d'Ikarios, père de Pènélopéia, qui dotera sa fille et la donnera à qui lui plaira davantage. Et ils envahissent tous les jours notre demeure, tuant mes boeufs, mes brebis et mes chèvres grasses, et ils en font des repas magnifiques, et ils boivent mon vin noir effrontément et dévorent tout. Il n'y a point ici un homme tel qu'Odysseus qui puisse repousser cette ruine loin de ma demeure, et je ne puis rien, moi qui suis inhabile et sans force guerrière. Certes, je le ferais si j'en avais la force, car ils commettent des actions intolérables, et ma maison périt honteusement.""
""Indignez-vous donc, vous-mêmes. Craignez les peuples voisins qui habitent autour d'Ithakè, et la colère des dieux qui puniront ces actions iniques. Je vous supplie, par Zeus Olympien, ou par Thémis qui réunit ou qui disperse les agoras des hommes, venez à mon aide, amis, et laissez-moi subir au moins ma douleur dans la solitude. Si jamais mon irréprochable père Odysseus a opprimé les Akhaiens aux belles knèmides, et si, pour venger leurs maux, vous les excitez contre moi, consumez plutôt vous-mêmes mes biens et mes richesses ; car, alors, peut-être verrions-nous le jour de l'expiation. Nous pourrions enfin nous entendre devant tous, expliquant les choses jusqu'à ce qu'elles soient résolues.",grief,positivity
101,Sadness,car une grande douleur m'accable,ecstasy,sadness
102,Sadness,"du double malheur tombé sur ma demeure ; car, d'une part, j'ai perdu mon père irréprochable, qui autrefois vous commandait, et qui, pour vous aussi, était doux comme un père ; et, d'un autre côté, voici maintenant, – et c'est un mal pire qui détruira bientôt ma demeure et dévorera tous mes biens, – que des prétendants assiègent ma mère contre sa volonté",grief,positivity
103,Sadness,"Et ils envahissent tous les jours notre demeure, tuant mes boeufs, mes brebis et mes chèvres grasses, et ils en font des repas magnifiques, et ils boivent mon vin noir effrontément et dévorent tout. Il n'y a point ici un homme tel qu'Odysseus qui puisse repousser cette ruine loin de ma demeure, et je ne puis rien",grief,positivity
104,Sadness,et ma maison périt honteusement.,melancholy,positivity
105,Angry,"""Indignez-vous donc, vous-mêmes. Craignez les peuples voisins qui habitent autour d'Ithakè, et la colère des dieux qui puniront ces actions iniques",grief,fear
106,Sadness,et laissez-moi subir au moins ma douleur dans la solitude,ecstasy,sadness
107,Angry,"et si, pour venger leurs maux, vous les excitez contre moi,",grief,angry
108,e_14,Antinoos,,positivity
109,e_25,"– Tèlémakhos, agorète orgueilleux et plein de colère, tu as parlé en nous outrageant, et tu veux nous couvrir d'une tache honteuse. Les prétendants Akhaiens ne t'ont rien fait. C'est plutôt ta mère, qui, certes, médite mille ruses. Voici déjà la troisième année, et bientôt la quatrième, qu'elle se joue du coeur des Akhaiens. Elle les fait tous espérer, promet à chacun, envoie des messages et médite des desseins contraires. Enfin, elle a ourdi une autre ruse dans son esprit. Elle a tissé dans ses demeures une grande toile, large et fine, et nous a dit",ecstasy,positivity
110,Disgust,"Tèlémakhos, agorète orgueilleux et plein de colère, tu as parlé en nous outrageant, et tu veux nous couvrir d'une tache honteuse.",ecstasy,angry
111,e_25,"– Jeunes hommes, mes prétendants, puisque le divin Odysseus est mort, cessez de hâter mes noces jusqu'à ce que j'aie achevé, pour que mes fils ne restent pas inutiles, ce linceul du héros Laertès, quand la Moire mauvaise de la mort inexorable l'aura saisi, afin qu'aucune des femmes Akhaiennes ne puisse me reprocher, devant tout le peuple, qu'un homme qui a possédé tant de biens ait été enseveli sans linceul.",grief,sadness
112,e_25,"""Elle parla ainsi, et notre coeur généreux fut aussitôt persuadé. Et, alors, pendant le jour, elle tissait la grande toile, et, pendant la nuit, ayant allumé les torches, elle la défaisait. Ainsi, trois ans, elle cacha sa ruse et trompa les Akhaiens ; mais quand vint la quatrième année, et quand les saisons recommencèrent, une de ses femmes, sachant bien sa ruse, nous la dit. Et nous la trouvâmes défaisant sa belle toile. Mais, contre sa volonté, elle fut contrainte de l'achever. Et c'est ainsi que les prétendants te répondent, afin que tu le saches dans ton esprit, et que tous les Akhaiens le sachent aussi. Renvoie ta mère et ordonne-lui de se marier à celui que son père choisira et qui lui plaira à elle-même. Si elle a abusé si longtemps les fils des Akhaiens, c'est qu'elle songe, dans son coeur, à tous les dons que lui a faits Athènè, à sa science des travaux habiles, à son esprit profond, à ses ruses. Certes, nous n'avons jamais entendu dire rien de semblable des Akhaiennes aux belles chevelures, qui vécurent autrefois parmi les femmes anciennes, Tyrô, Alkmènè et Mykènè aux beaux cheveux. Nulle d'entre elles n'avait des arts égaux à ceux de Pènélopéia ; mais elle n'en use pas avec droiture. Donc, les prétendants consumeront tes troupeaux et tes richesses tant qu'elle gardera le même esprit que les dieux mettent maintenant dans sa poitrine. À la vérité, elle remportera une grande gloire, mais il ne t'en restera que le regret de tes biens dissipés ; car nous ne retournerons point à nos travaux, et nous n'irons point en quelque autre lieu, avant qu'elle ait épousé celui des Akhaiens qu'elle choisira.",grief,positivity
113,Joy,"Elle parla ainsi, et notre coeur généreux fut aussitôt persuadé",grief,positivity
114,e_14,ta mère,,positivity
115,e_14,Tèlémakhos,,positivity
116,e_25,"– Antinoos, je ne puis renvoyer de ma demeure, contre son gré, celle qui m'a enfanté et qui m'a nourri. Mon père vit encore quelque part sur la terre, ou bien il est mort, et il me sera dur de rendre de nombreuses richesses à Ikarios, si je renvoie ma mère. J'ai déjà subi beaucoup de maux à cause de mon père, et les dieux m'en enverront d'autres après que ma mère, en quittant ma demeure, aura supplié les odieuses Érinnyes, et ce sont les hommes qui la vengeront. Et c'est pourquoi je ne prononcerai point une telle parole. Si votre coeur s'en indigne, sortez de ma demeure, songez à d'autres repas, mangez vos propres biens en des festins réciproques. Mais s'il vous semble meilleur et plus équitable de dévorer impunément la subsistance d'un seul homme, faites ! Moi, j'invoquerai les dieux éternels. Et si jamais Zeus permet qu'un juste retour vous châtie, vous périrez sans vengeance dans ma demeure",ecstasy,positivity
117,Sadness,"J'ai déjà subi beaucoup de maux à cause de mon père, et les dieux m'en enverront d'autres après que ma mère, en quittant ma demeure, aura supplié les odieuses Érinnyes, et ce sont les hommes qui la vengeront.",grief,positivity
118,Angry,"Mais s'il vous semble meilleur et plus équitable de dévorer impunément la subsistance d'un seul homme, faites",terror,positivity
119,e_14,Halithersès,,positivity
